ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Site Name,Discount,Additional Discounts,Feedback
MSI GF65 Thin Core i5 9th Gen,4.6,889,173,74990,99990,Flipkart,26% off,10% Off on SBI Credit Cards,Positive
MSI Katana GF66 Core i5 12th Gen,0,0,0,85990,111990,Flipkart,20% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Yoga 6 Ryzen 7 Octa Core 4700U,4.5,84,15,79990,0,Flipkart,30% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad Slim 5i Core i5 11th Gen,4.2,0,0,66990,86490,Flipkart,24% off,10% Off on SBI Credit Cards,Positive
MSI Modern 14 Core i7 11th Gen,4.2,0,0,58990,78990,Flipkart,40% off,Flat INR 500 Off on SBI Cards,Positive
MSI Core i7 11th Gen,0,0,0,70990,89990,Flipkart,59% off,Save extra with No Cost EMI,Negative
MSI Prestige 14 EVO Core i5 11th Gen,4.5,0,0,80490,93489,Flipkart,37% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H,4.1,0,0,73990,104890,Flipkart,39% off,Flat INR 2000 Off on SBICards,Positive
Lenovo Ryzen 7 Octa Core 5800H,0,0,0,97990,152490,Flipkart,35% off,Flat INR 500 Off on SBI Cards,Negative
MSI Pulse GL66 Core i7 11th Gen,4.6,0,0,109990,123990,Flipkart,29% off,Save extra with No Cost EMI,Positive
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core 4800H,4.4,144,21,82000,89490,Flipkart,43% off,10% Off on SBI Credit Cards,Positive
MSI Core i7 12th Gen,4.1,0,0,129990,156990,Flipkart,15% off,10% Off on SBI Credit Cards,Positive
Lenovo Legion 5 Pro Core i7 11th Gen,4.6,0,0,157990,224490,Flipkart,23% off,10% Off on SBI Credit Cards,Positive
MSI Raider GE66 Core i7 12th Gen,0,0,0,259990,279990,Flipkart,8% off,Flat INR 2000 Off on SBICards,Negative
Lenovo Legion 5 Ryzen 5 Hexa Core 5600H,0,0,0,73999,107690,Flipkart,19% off,Flat INR 2000 Off on SBICards,Negative
Lenovo ThinkPad Core i5 10th Gen,0,0,0,125490,146680,Flipkart,32% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Core i7 11th Gen,0,0,0,80999,96995,Flipkart,84% off,No Discounts,Negative
Lenovo Yoga 7i Ryzen 7 Octa Core R7,0,0,0,98490,130090,Flipkart,14% off,10% Off on SBI Credit Cards,Negative
Lenovo IdeaPad Flex 5 Core i7 11th Gen,4.4,83,10,91999,120000,Flipkart,19% off,10% Off on SBI Credit Cards,Positive
Lenovo Core i5 7th Gen,4.1,260,54,57309,0,Flipkart,84% off,No Discounts,Positive
Lenovo Yoga Slim 7 Intel EVO Core i5 11th Gen,4.7,0,0,90499,125890,Flipkart,30% off,Flat INR 500 Off on SBI Cards,Positive
lenovo Yoga 9 Core i7 11th Gen Intel EVO,0,0,0,181999,203999,Flipkart,36% off,Flat INR 500 Off on SBICards,Negative
Lenovo IdeaPad 5 14ITL05 Core i5 11th Gen,0,0,0,56299,63999,Flipkart,39% off,Flat INR 2000 Off on SBICards,Negative
Lenovo Legion Y540 Core i5 9th Gen,4.4,308,27,66799,81999,Flipkart,41% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H,4.3,63,11,73999,83890,Flipkart,21% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Yoga S7 Carbon Core i7 11th Gen,0,0,0,122489,174890,Flipkart,30% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Ideapad Flex 5 Ryzen 5 Hexa Core 4500U 4th Gen,4.5,210,29,63999,82400,Flipkart,42% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad 530s Core i5 8th Gen,4.4,0,0,59999,80000,Flipkart,18% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad 5 Pro Ryzen 7 Hexa Core,0,0,0,90999,137090,Flipkart,25% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Legion Core i5 9th Gen,4.4,0,0,65250,78999,Flipkart,38% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad Gaming Core i5 10th Gen,4,72,13,60990,78290,Flipkart,8% off,10% Off on SBI Credit Cards,Positive
Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 4650U 5th Gen,4.4,349,51,58990,64038,Flipkart,39% off,10% Off on SBI Credit Cards,Positive
Lenovo Yoga Slim 7 Intel EVO Core i5 11th Gen,4.6,0,0,82999,92000,Flipkart,36% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 5700U,4.4,249,33,84999,93690,Flipkart,36% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad 5 Pro Ryzen 7 Octa Core 5800U,4.8,0,0,82997,108590,Flipkart,29% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo ThinkPad E15 Core i5 11th Gen,4.2,0,0,75879,0,Flipkart,23% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad 5 Core i5 11th Gen,4.5,0,0,96890,97890,Flipkart,25% off,10% Off on SBI Credit Cards,Positive
Lenovo Thinpad E15 G2 Core i5 11th Gen,0,0,0,82489,101525,Flipkart,36% off,No Discounts,Negative
Lenovo Ideapad Flex 5 Core i3 10th Gen,4.4,488,43,65690,0,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Thinkbook Core i7 11th Gen,4.2,0,0,140131,0,Flipkart,29% off,10% Off on SBI Credit Cards,Positive
Lenovo Core i5 11th Gen,0,0,0,68000,102090,Flipkart,22% off,No Discounts,Negative
Lenovo Core i7 8th Gen,0,0,0,129990,244801,Flipkart,49% off,No Discounts,Negative
Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen,4.3,768,71,57999,81090,Flipkart,32% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo ThinkPad Core i5 10th Gen,0,0,0,125490,146680,Flipkart,7% off,No Discounts,Negative
Lenovo Ideapad Slim 5i Core i5 11th Gen,5,0,0,68499,98999,Flipkart,44% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U,0,0,0,79999,123090,Flipkart,17% off,No Discounts,Negative
MSI Stealth Core i7 8th Gen,4.8,0,0,184790,189990,Flipkart,22% off,10% Off on SBI Credit Cards,Positive
Lenovo IdeaPad Gaming Core i7 10th Gen,4.6,0,0,76999,99290,Flipkart,20% off,No Discounts,Positive
Lenovo Legion 5 Core i5 10th Gen,4.4,336,41,70999,93690,Flipkart,28% off,10% Off on SBI Credit Cards,Positive
